steps,res,frames,Wh,Input type,architecture,params,fps,duration,run_time
50.0,921600.0,78.0,81.0,text,dit,1.3,15,5.2,385.9896981716156
50.0,921600.0,92.0,112.0,text,dit,1.3,15,6.133333333333334,520.3183628320694
50.0,921600.0,90.0,104.0,text,dit,1.3,15,6.0,482.9531887769699
50.0,921600.0,81.0,88.0,text,dit,1.3,15,5.4,417.31465792655945
50.0,921600.0,83.0,88.0,text,dit,1.3,15,5.533333333333333,416.8434921503067
50.0,921600.0,18.0,9.0,text,dit,1.3,15,1.2,42.760724782943726
50.0,921600.0,91.0,104.0,text,dit,1.3,15,6.066666666666666,483.1423569917679
50.0,921600.0,70.0,68.0,text,dit,1.3,15,4.666666666666667,320.3028190135956
50.0,921600.0,74.0,74.0,text,dit,1.3,15,4.933333333333334,353.89456260204315
50.0,921600.0,85.0,96.0,text,dit,1.3,15,5.666666666666667,453.8468328714371
50.0,921600.0,39.0,26.0,text,dit,1.3,15,2.6,117.48512530326845
50.0,921600.0,97.0,120.0,text,dit,1.3,15,6.466666666666667,561.6150798797607
50.0,921600.0,55.0,42.0,text,dit,1.3,15,3.6666666666666665,211.44555521011355
50.0,921600.0,47.0,34.0,text,dit,1.3,15,3.1333333333333333,157.97766137123108
50.0,921600.0,45.0,34.0,text,dit,1.3,15,3.0,158.17157351970673
50.0,921600.0,28.0,18.0,text,dit,1.3,15,1.8666666666666667,84.49104797840118
50.0,921600.0,82.0,88.0,text,dit,1.3,15,5.466666666666667,417.3359310626984
50.0,921600.0,61.0,54.0,text,dit,1.3,15,4.066666666666666,264.9903918504715
50.0,921600.0,98.0,120.0,text,dit,1.3,15,6.533333333333333,560.4433292150497
50.0,921600.0,68.0,68.0,text,dit,1.3,15,4.533333333333333,318.97171199321747
50.0,921600.0,41.0,30.0,text,dit,1.3,15,2.7333333333333334,137.69447910785675
50.0,921600.0,27.0,14.0,text,dit,1.3,15,1.8,69.20160245895386
50.0,921600.0,72.0,74.0,text,dit,1.3,15,4.8,351.4089205265045
50.0,921600.0,64.0,62.0,text,dit,1.3,15,4.266666666666667,288.62523198127747
50.0,921600.0,8.0,5.0,text,dit,1.3,15,0.5333333333333333,21.88531744480133
50.0,921600.0,54.0,43.0,text,dit,1.3,15,3.6,210.7903281450272
50.0,921600.0,96.0,119.0,text,dit,1.3,15,6.4,563.4361423254013
50.0,921600.0,1.0,1.0,text,dit,1.3,15,0.06666666666666667,6.417616128921509
50.0,921600.0,71.0,68.0,text,dit,1.3,15,4.733333333333333,321.5792940855026
50.0,921600.0,9.0,5.0,text,dit,1.3,15,0.6,21.753043293952945
50.0,921600.0,66.0,61.0,text,dit,1.3,15,4.4,288.4790918827057
50.0,921600.0,69.0,68.0,text,dit,1.3,15,4.6,319.22518849372864
50.0,921600.0,100.0,129.0,text,dit,1.3,15,6.666666666666667,605.0159550905228
50.0,921600.0,16.0,9.0,text,dit,1.3,15,1.0666666666666667,42.85942566394806
50.0,921600.0,32.0,22.0,text,dit,1.3,15,2.1333333333333333,100.60864567756651
50.0,921600.0,40.0,30.0,text,dit,1.3,15,2.6666666666666665,137.70050501823425
50.0,921600.0,5.0,3.0,text,dit,1.3,15,0.3333333333333333,13.607108235359192
50.0,921600.0,67.0,61.0,text,dit,1.3,15,4.466666666666667,288.3990296125412
50.0,921600.0,75.0,74.0,text,dit,1.3,15,5.0,353.7807559967041
50.0,921600.0,58.0,48.0,text,dit,1.3,15,3.8666666666666667,243.77098035812372
50.0,921600.0,63.0,54.0,text,dit,1.3,15,4.2,257.7745088338852
50.0,921600.0,11.0,5.0,text,dit,1.3,15,0.7333333333333333,21.781020998954773
50.0,921600.0,84.0,96.0,text,dit,1.3,15,5.6,454.3619775772095
50.0,921600.0,50.0,38.0,text,dit,1.3,15,3.3333333333333335,190.34420037269592
50.0,921600.0,10.0,5.0,text,dit,1.3,15,0.6666666666666666,21.793341040611267
50.0,921600.0,60.0,54.0,text,dit,1.3,15,4.0,263.95419692993164
50.0,921600.0,23.0,12.0,text,dit,1.3,15,1.5333333333333334,55.75319957733154
50.0,921600.0,99.0,120.0,text,dit,1.3,15,6.6,561.1038748025894
50.0,921600.0,62.0,54.0,text,dit,1.3,15,4.133333333333334,266.1895686388016
50.0,921600.0,77.0,81.0,text,dit,1.3,15,5.133333333333334,386.9078552722931
50.0,921600.0,13.0,7.0,text,dit,1.3,15,0.8666666666666667,32.12878859043121
50.0,921600.0,35.0,22.0,text,dit,1.3,15,2.3333333333333335,100.60456907749176
50.0,921600.0,79.0,81.0,text,dit,1.3,15,5.266666666666667,385.2263114452362
50.0,921600.0,15.0,7.0,text,dit,1.3,15,1.0,32.29062068462372
50.0,921600.0,24.0,14.0,text,dit,1.3,15,1.6,69.05324006080627
50.0,921600.0,21.0,12.0,text,dit,1.3,15,1.4,55.82632756233215
50.0,921600.0,73.0,74.0,text,dit,1.3,15,4.866666666666666,353.0451053380966
50.0,921600.0,38.0,25.0,text,dit,1.3,15,2.533333333333333,117.44363057613371
50.0,921600.0,30.0,18.0,text,dit,1.3,15,2.0,83.28475534915924
50.0,921600.0,89.0,104.0,text,dit,1.3,15,5.933333333333334,482.16436088085175
50.0,921600.0,53.0,43.0,text,dit,1.3,15,3.533333333333333,210.00636291503903
50.0,921600.0,17.0,9.0,text,dit,1.3,15,1.1333333333333333,42.828550934791565
50.0,921600.0,48.0,39.0,text,dit,1.3,15,3.2,186.47917664051056
50.0,921600.0,14.0,7.0,text,dit,1.3,15,0.9333333333333333,32.19413197040558
50.0,921600.0,29.0,18.0,text,dit,1.3,15,1.9333333333333333,83.25636994838715
50.0,921600.0,22.0,12.0,text,dit,1.3,15,1.4666666666666666,55.497461915016174
50.0,921600.0,25.0,14.0,text,dit,1.3,15,1.6666666666666667,69.094531416893
50.0,921600.0,36.0,25.0,text,dit,1.3,15,2.4,117.4881020784378
50.0,921600.0,33.0,22.0,text,dit,1.3,15,2.2,100.60746431350708
50.0,921600.0,31.0,18.0,text,dit,1.3,15,2.066666666666667,83.19250333309174
50.0,921600.0,4.0,3.0,text,dit,1.3,15,0.26666666666666666,13.60682988166809
50.0,921600.0,76.0,81.0,text,dit,1.3,15,5.066666666666666,387.8284586668015
50.0,921600.0,59.0,48.0,text,dit,1.3,15,3.933333333333333,243.85099840164185
50.0,921600.0,37.0,25.0,text,dit,1.3,15,2.466666666666667,117.46282947063446
50.0,921600.0,43.0,30.0,text,dit,1.3,15,2.8666666666666667,138.02590775489807
50.0,921600.0,87.0,96.0,text,dit,1.3,15,5.8,451.1791616678238
50.0,921600.0,42.0,30.0,text,dit,1.3,15,2.8,137.69136703014374
50.0,921600.0,12.0,7.0,text,dit,1.3,15,0.8,32.18583858013153
50.0,921600.0,56.0,48.0,text,dit,1.3,15,3.7333333333333334,243.2844886779785
50.0,921600.0,26.0,14.0,text,dit,1.3,15,1.7333333333333334,69.25060510635376
50.0,921600.0,80.0,88.0,text,dit,1.3,15,5.333333333333333,417.8465529680252
50.0,921600.0,95.0,111.0,text,dit,1.3,15,6.333333333333333,525.8949965238571
50.0,921600.0,7.0,3.0,text,dit,1.3,15,0.4666666666666667,13.548511266708374
50.0,921600.0,51.0,38.0,text,dit,1.3,15,3.4,190.42216897010803
50.0,921600.0,93.0,111.0,text,dit,1.3,15,6.2,520.8286399841309
50.0,921600.0,88.0,103.0,text,dit,1.3,15,5.866666666666666,482.4659482240677
50.0,921600.0,44.0,34.0,text,dit,1.3,15,2.933333333333333,157.55974817276
50.0,921600.0,57.0,48.0,text,dit,1.3,15,3.8,243.13264775276184
50.0,921600.0,94.0,111.0,text,dit,1.3,15,6.266666666666667,523.5347626209259
50.0,921600.0,49.0,38.0,text,dit,1.3,15,3.2666666666666666,190.9731401205063
50.0,921600.0,6.0,3.0,text,dit,1.3,15,0.4,13.712557911872864
50.0,921600.0,34.0,22.0,text,dit,1.3,15,2.2666666666666666,100.5961400270462
50.0,921600.0,65.0,61.0,text,dit,1.3,15,4.333333333333333,287.72403848171234
50.0,921600.0,3.0,1.0,text,dit,1.3,15,0.2,6.395071387290955
50.0,921600.0,46.0,34.0,text,dit,1.3,15,3.066666666666667,158.17741882801056
50.0,921600.0,19.0,9.0,text,dit,1.3,15,1.2666666666666666,42.6207115650177
50.0,921600.0,20.0,12.0,text,dit,1.3,15,1.3333333333333333,55.946271777153015
50.0,921600.0,52.0,42.0,text,dit,1.3,15,3.466666666666667,212.544615983963
50.0,921600.0,2.0,1.0,text,dit,1.3,15,0.13333333333333333,6.396754503250122
50.0,921600.0,86.0,96.0,text,dit,1.3,15,5.733333333333333,452.09529280662537
50.0,331776.0,81.0,16.0,text,dit,1.3,15,5.4,76.05316758155823
50.0,270336.0,81.0,12.0,text,dit,1.3,15,5.4,55.934642910957336
50.0,147456.0,81.0,5.0,text,dit,1.3,15,5.4,25.149334192276
50.0,661504.0,81.0,50.0,text,dit,1.3,15,5.4,225.63827800750727
50.0,114688.0,81.0,4.0,text,dit,1.3,15,5.4,18.53192627429962
50.0,65536.0,81.0,2.0,text,dit,1.3,15,5.4,9.85711133480072
50.0,399360.0,81.0,22.0,text,dit,1.3,15,5.4,100.24848330020905
50.0,184320.0,81.0,7.0,text,dit,1.3,15,5.4,33.336573362350464
50.0,76800.0,81.0,2.0,text,dit,1.3,15,5.4,11.93269944190979
50.0,262144.0,81.0,12.0,text,dit,1.3,15,5.4,53.90890455245972
50.0,1806336.0,81.0,157.7,text,dit,1.3,15,5.4,1336.6927964687347
50.0,1327104.0,81.0,157.7,text,dit,1.3,15,5.4,761.757609128952
50.0,921600.0,81.0,87.0,text,dit,1.3,15,5.4,397.8986040353775
50.0,589824.0,81.0,40.0,text,dit,1.3,15,5.4,185.78938603401184
160.0,921600.0,50.0,126.0,text,dit,1.3,15,3.3333333333333335,574.92183248202
154.0,921600.0,50.0,122.0,text,dit,1.3,15,3.3333333333333335,553.1011447906494
191.0,921600.0,50.0,154.0,text,dit,1.3,15,3.3333333333333335,686.11869597435
197.0,921600.0,50.0,157.0,text,dit,1.3,15,3.3333333333333335,707.2547765572866
171.0,921600.0,50.0,135.0,text,dit,1.3,15,3.3333333333333335,611.1087482770284
3.0,921600.0,50.0,3.0,text,dit,1.3,15,3.3333333333333335,15.438905000686646
50.0,921600.0,50.0,40.0,text,dit,1.3,15,3.3333333333333335,183.65741380055744
123.0,921600.0,50.0,98.0,text,dit,1.3,15,3.3333333333333335,445.065528233846
45.0,921600.0,50.0,36.0,text,dit,1.3,15,3.3333333333333335,165.44000522295633
41.0,921600.0,50.0,33.0,text,dit,1.3,15,3.3333333333333335,151.32606530189514
42.0,921600.0,50.0,34.0,text,dit,1.3,15,3.3333333333333335,154.84353391329446
175.0,921600.0,50.0,139.0,text,dit,1.3,15,3.3333333333333335,625.6297272841135
56.0,921600.0,50.0,45.0,text,dit,1.3,15,3.3333333333333335,205.1059417724609
48.0,921600.0,50.0,39.0,text,dit,1.3,15,3.3333333333333335,176.3118054072062
38.0,921600.0,50.0,31.0,text,dit,1.3,15,3.3333333333333335,140.48164415359497
122.0,921600.0,50.0,97.0,text,dit,1.3,15,3.3333333333333335,440.9567515055339
120.0,921600.0,50.0,95.0,text,dit,1.3,15,3.3333333333333335,433.4761091073354
9.0,921600.0,50.0,8.0,text,dit,1.3,15,3.3333333333333335,36.84454806645712
165.0,921600.0,50.0,131.0,text,dit,1.3,15,3.3333333333333335,591.882330497106
103.0,921600.0,50.0,82.0,text,dit,1.3,15,3.3333333333333335,371.0958520571391
54.0,921600.0,50.0,43.0,text,dit,1.3,15,3.3333333333333335,197.40940610567728
75.0,921600.0,50.0,60.0,text,dit,1.3,15,3.3333333333333335,273.08867899576825
18.0,921600.0,50.0,15.0,text,dit,1.3,15,3.3333333333333335,68.94569547971089
58.0,921600.0,50.0,47.0,text,dit,1.3,15,3.3333333333333335,212.2948629061381
66.0,921600.0,50.0,53.0,text,dit,1.3,15,3.3333333333333335,240.50349632898968
157.0,921600.0,50.0,125.0,text,dit,1.3,15,3.3333333333333335,565.1074204444885
2.0,921600.0,50.0,3.0,text,dit,1.3,15,3.3333333333333335,11.881079832712809
26.0,921600.0,50.0,21.0,text,dit,1.3,15,3.3333333333333335,97.54430190722148
95.0,921600.0,50.0,75.0,text,dit,1.3,15,3.3333333333333335,342.8273142973582
134.0,921600.0,50.0,107.0,text,dit,1.3,15,3.3333333333333335,482.215927362442
53.0,921600.0,50.0,43.0,text,dit,1.3,15,3.3333333333333335,193.9046093622844
199.0,921600.0,50.0,157.7,text,dit,1.3,15,3.3333333333333335,714.7459876537323
166.0,921600.0,50.0,132.0,text,dit,1.3,15,3.3333333333333335,594.9370048840841
131.0,921600.0,50.0,105.0,text,dit,1.3,15,3.3333333333333335,471.0062781969706
190.0,921600.0,50.0,152.0,text,dit,1.3,15,3.3333333333333335,682.0449379285177
61.0,921600.0,50.0,49.0,text,dit,1.3,15,3.3333333333333335,223.2327942053477
130.0,921600.0,50.0,104.0,text,dit,1.3,15,3.3333333333333335,469.0192046960195
189.0,921600.0,50.0,150.0,text,dit,1.3,15,3.3333333333333335,678.9518075784048
196.0,921600.0,50.0,156.0,text,dit,1.3,15,3.3333333333333335,703.8937961260477
55.0,921600.0,50.0,44.0,text,dit,1.3,15,3.3333333333333335,201.12629342079163
116.0,921600.0,50.0,92.0,text,dit,1.3,15,3.3333333333333335,418.7338016827901
108.0,921600.0,50.0,85.0,text,dit,1.3,15,3.3333333333333335,388.5975617567698
25.0,921600.0,50.0,21.0,text,dit,1.3,15,3.3333333333333335,94.05851324399312
167.0,921600.0,50.0,132.0,text,dit,1.3,15,3.3333333333333335,598.7363918622335
16.0,921600.0,50.0,14.0,text,dit,1.3,15,3.3333333333333335,61.839388291041054
168.0,921600.0,50.0,133.0,text,dit,1.3,15,3.3333333333333335,601.417160987854
200.0,921600.0,50.0,157.7,text,dit,1.3,15,3.3333333333333335,718.346206744512
59.0,921600.0,50.0,47.0,text,dit,1.3,15,3.3333333333333335,215.80681610107425
70.0,921600.0,50.0,56.0,text,dit,1.3,15,3.3333333333333335,254.0049788157145
32.0,921600.0,50.0,26.0,text,dit,1.3,15,3.3333333333333335,118.9865922133128
121.0,921600.0,50.0,96.0,text,dit,1.3,15,3.3333333333333335,437.19378701845807
72.0,921600.0,50.0,57.0,text,dit,1.3,15,3.3333333333333335,261.8825630346934
24.0,921600.0,50.0,20.0,text,dit,1.3,15,3.3333333333333335,90.37911089261372
159.0,921600.0,50.0,125.0,text,dit,1.3,15,3.3333333333333335,571.2684576511383
142.0,921600.0,50.0,113.0,text,dit,1.3,15,3.3333333333333335,510.7043511867523
117.0,921600.0,50.0,93.0,text,dit,1.3,15,3.3333333333333335,423.15050053596497
137.0,921600.0,50.0,110.0,text,dit,1.3,15,3.3333333333333335,492.4785489241282
17.0,921600.0,50.0,14.0,text,dit,1.3,15,3.3333333333333335,65.37439115842183
83.0,921600.0,50.0,66.0,text,dit,1.3,15,3.3333333333333335,300.58407243092853
170.0,921600.0,50.0,135.0,text,dit,1.3,15,3.3333333333333335,608.3761434555054
71.0,921600.0,50.0,57.0,text,dit,1.3,15,3.3333333333333335,257.5875214735667
39.0,921600.0,50.0,32.0,text,dit,1.3,15,3.3333333333333335,144.06835587819418
21.0,921600.0,50.0,17.0,text,dit,1.3,15,3.3333333333333335,79.70006092389424
105.0,921600.0,50.0,83.0,text,dit,1.3,15,3.3333333333333335,378.3819662729899
183.0,921600.0,50.0,146.0,text,dit,1.3,15,3.3333333333333335,657.5363297462463
27.0,921600.0,50.0,22.0,text,dit,1.3,15,3.3333333333333335,101.13083529472352
68.0,921600.0,50.0,54.0,text,dit,1.3,15,3.3333333333333335,247.6829075813293
1.0,921600.0,50.0,2.0,text,dit,1.3,15,3.3333333333333335,8.336840073267618
155.0,921600.0,50.0,123.0,text,dit,1.3,15,3.3333333333333335,556.8787732919058
84.0,921600.0,50.0,67.0,text,dit,1.3,15,3.3333333333333335,304.2009127140045
101.0,921600.0,50.0,80.0,text,dit,1.3,15,3.3333333333333335,364.0549844900767
80.0,921600.0,50.0,64.0,text,dit,1.3,15,3.3333333333333335,289.9692376454671
12.0,921600.0,50.0,10.0,text,dit,1.3,15,3.3333333333333335,47.62348612149557
163.0,921600.0,50.0,128.0,text,dit,1.3,15,3.3333333333333335,585.8015794754028
128.0,921600.0,50.0,103.0,text,dit,1.3,15,3.3333333333333335,462.6596740881602
148.0,921600.0,50.0,118.0,text,dit,1.3,15,3.3333333333333335,532.2504528363546
43.0,921600.0,50.0,35.0,text,dit,1.3,15,3.3333333333333335,158.16833035151163
133.0,921600.0,50.0,107.0,text,dit,1.3,15,3.3333333333333335,479.13936257362366
93.0,921600.0,50.0,74.0,text,dit,1.3,15,3.3333333333333335,336.1264410018921
106.0,921600.0,50.0,84.0,text,dit,1.3,15,3.3333333333333335,381.5249512990316
144.0,921600.0,50.0,115.0,text,dit,1.3,15,3.3333333333333335,517.2624739805857
194.0,921600.0,50.0,154.0,text,dit,1.3,15,3.3333333333333335,696.9086062113444
152.0,921600.0,50.0,121.0,text,dit,1.3,15,3.3333333333333335,545.346335808436
192.0,921600.0,50.0,155.0,text,dit,1.3,15,3.3333333333333335,689.5206338564554
188.0,921600.0,50.0,149.0,text,dit,1.3,15,3.3333333333333335,675.2827653884888
